evolution$generation,evolution$evaluated,macroGrowthRate,macroInteractionDecay,macroInteractionWeight,macroInteractionGamma,mesoAlpha,mesoBeta,mesoNdiff,mesoTimeSteps,macroMesoAlphaUpdateMax,macroMesoBetaUpdateMax,mesoMacroCongestionCost,mesoMacroDecayUpdateMax,objective$psiPopulation,objective$deltaPopulation,objective$gammaPopulation,evolution$samples,evolution$generated,mesoMacroDecayUpdateMax,mesoMacroCongestionCost,macroInteractionWeight,mesoTimeSteps,replication,macroInteractionDecay,deltaPopulation,psiPopulation,mesoBeta,macroMesoAlphaUpdateMax,gammaPopulation,mesoAlpha,macroMesoBetaUpdateMax,macroGrowthRate,macroInteractionGamma,mesoNdiff
1000,1000,0.0043922425064662094,174.05894442252773,0.01,0.6201717260409744,2.4852633720968793,0.09433906083297551,1.5860163468543684,15.781081910255416,0.009531060697650445,-0.0358638271594451,1.464384683462728,0.06503925564286908,0.46623239956633755,1.9883629846245223,0.35867273142234524,1,793,"[0.06503925564286908]","[1.464384683462728]","[0.01]","[15.781081910255416]","[6443076804467242695]","[174.05894442252773]","[1.9883629846245223]","[0.46623239956633755]","[0.09433906083297551]","[0.009531060697650445]","[0.35867273142234524]","[2.4852633720968793]","[-0.0358638271594451]","[0.0043922425064662094]","[0.6201717260409744]","[1.5860163468543684]"
1000,1000,0.007440203298673544,150.97169711892744,0.0035858627947905858,1.176541673715093,1.7002613611445647,0.09651227360922446,1.2273182718452866,18.675172888037352,0.04509502788965333,-0.032986846727404526,1.4821075891117732,0.051103675178102076,0.7226064443382172,2.1421445339575755,0.26560343960305266,3,151,"[0.051103675178102076,0.051103675178102076,0.051103675178102076]","[1.4821075891117732,1.4821075891117732,1.4821075891117732]","[0.0035858627947905858,0.0035858627947905858,0.0035858627947905858]","[18.675172888037352,18.675172888037352,18.675172888037352]","[-7007798477299305893,808061892923367730,8952363413597994115]","[150.97169711892744,150.97169711892744,150.97169711892744]","[2.0641694227684444,2.1421445339575755,2.215508064776589]","[1.7152707618748217,0.7226064443382172,0.4886622362415278]","[0.09651227360922446,0.09651227360922446,0.09651227360922446]","[0.04509502788965333,0.04509502788965333,0.04509502788965333]","[0.23381011446414046,0.28559402499805,0.26560343960305266]","[1.7002613611445647,1.7002613611445647,1.7002613611445647]","[-0.032986846727404526,-0.032986846727404526,-0.032986846727404526]","[0.007440203298673544,0.007440203298673544,0.007440203298673544]","[1.176541673715093,1.176541673715093,1.176541673715093]","[1.2273182718452866,1.2273182718452866,1.2273182718452866]"
1000,1000,0.021037810711472364,231.2099209713838,0.003112179932522078,3.2686441717983943,3.8142608174984947,0.07577815250720785,3.0991354433635454,8.631608929050808,-0.019275880975112486,0.007534959291924936,1.0416265279244545,0.028371969036701195,0.3022045244916258,2.130690754571326,0.22777920093322623,2,259,"[0.028371969036701195,0.028371969036701195]","[1.0416265279244545,1.0416265279244545]","[0.003112179932522078,0.003112179932522078]","[8.631608929050808,8.631608929050808]","[-6800929015089219391,3471961726024693662]","[231.2099209713838,231.2099209713838]","[1.8500286808993862,2.4113528282432655]","[0.08327331616606282,0.5211357328171888]","[0.07577815250720785,0.07577815250720785]","[-0.019275880975112486,-0.019275880975112486]","[0.23807404497807028,0.2174843568883822]","[3.8142608174984947,3.8142608174984947]","[0.007534959291924936,0.007534959291924936]","[0.021037810711472364,0.021037810711472364]","[3.2686441717983943,3.2686441717983943]","[3.0991354433635454,3.0991354433635454]"
1000,1000,0.018411935857409037,305.8758687043836,0.0036240160466044402,5.0,3.6383230112700335,0.0096147213759726,2.865114042811018,14.694736348961928,-0.024232716227788526,0.03526300006413427,1.0904429532982762,-0.043153914144637234,0.26303759815171324,1.8420439063859608,0.33634729950132547,1,806,"[-0.043153914144637234]","[1.0904429532982762]","[0.0036240160466044402]","[14.694736348961928]","[4493617627570875197]","[305.8758687043836]","[1.8420439063859608]","[0.26303759815171324]","[0.0096147213759726]","[-0.024232716227788526]","[0.33634729950132547]","[3.6383230112700335]","[0.03526300006413427]","[0.018411935857409037]","[5.0]","[2.865114042811018]"
1000,1000,0.05,419.4036042664726,0.00198224388119943,0.5,0.5,0.09530160383692252,3.621603565555856,20.0,-0.1,-0.0867033893715781,0.5,0.1,0.3070544103728685,2.222983905714116,0.445731526385551,1,841,"[0.1]","[0.5]","[0.00198224388119943]","[20.0]","[-1406035282322382282]","[419.4036042664726]","[2.222983905714116]","[0.3070544103728685]","[0.09530160383692252]","[-0.1]","[0.445731526385551]","[0.5]","[-0.0867033893715781]","[0.05]","[0.5]","[3.621603565555856]"
1000,1000,0.016445145894194716,167.88394689190733,0.0032174191967413624,1.2481824700166217,3.7565349622698956,0.024681962902867578,2.9625136578721105,13.38366062530674,-0.0025244430326119005,0.015406612283477866,1.500631286643345,0.02848113739082686,0.8079751492057428,1.9755745635727657,0.3456673197588449,4,494,"[0.02848113739082686,0.02848113739082686,0.02848113739082686,0.02848113739082686]","[1.500631286643345,1.500631286643345,1.500631286643345,1.500631286643345]","[0.0032174191967413624,0.0032174191967413624,0.0032174191967413624,0.0032174191967413624]","[13.38366062530674,13.38366062530674,13.38366062530674,13.38366062530674]","[-2943676112186006741,-3395194194598971049,-6064529793629476935,-1938464990951787515]","[167.88394689190733,167.88394689190733,167.88394689190733,167.88394689190733]","[1.7703415396952118,2.2702712805769663,2.0218353696526576,1.9293137574928738]","[-1.3933750586788962,0.21730267303209372,1.4437614632099423,1.3986476253793918]","[0.024681962902867578,0.024681962902867578,0.024681962902867578,0.024681962902867578]","[-0.0025244430326119005,-0.0025244430326119005,-0.0025244430326119005,-0.0025244430326119005]","[0.420136982041007,0.38842182220084753,0.23298839533359805,0.3029128173168423]","[3.7565349622698956,3.7565349622698956,3.7565349622698956,3.7565349622698956]","[0.015406612283477866,0.015406612283477866,0.015406612283477866,0.015406612283477866]","[0.016445145894194716,0.016445145894194716,0.016445145894194716,0.016445145894194716]","[1.2481824700166217,1.2481824700166217,1.2481824700166217,1.2481824700166217]","[2.9625136578721105,2.9625136578721105,2.9625136578721105,2.9625136578721105]"
1000,1000,0.012271111339381132,369.306572751056,0.004072243175227818,3.2736955524284794,0.5,0.09623926818658386,2.308361675719232,11.031341786173243,0.0415527809161888,-0.08146630460636466,1.5150303986537765,0.022269596057848867,0.7115981679139092,1.9158488570252705,0.3606729417168666,2,365,"[0.022269596057848867,0.022269596057848867]","[1.5150303986537765,1.5150303986537765]","[0.004072243175227818,0.004072243175227818]","[11.031341786173243,11.031341786173243]","[-4067882394174771732,-3271037970730143715]","[369.306572751056,369.306572751056]","[1.9777517400040003,1.8539459740465407]","[0.13639934755642313,1.2867969882713952]","[0.09623926818658386,0.09623926818658386]","[0.0415527809161888,0.0415527809161888]","[0.39646267539649926,0.3248832080372339]","[0.5,0.5]","[-0.08146630460636466,-0.08146630460636466]","[0.012271111339381132,0.012271111339381132]","[3.2736955524284794,3.2736955524284794]","[2.308361675719232,2.308361675719232]"
1000,1000,0.013713482809088701,193.9042114172161,0.001256696548106145,0.5,3.711770516346938,0.022276731068269384,2.979453307381173,12.732194810139804,0.0019430247470465234,0.027728501216345763,1.5766661006460534,0.053141831689148794,-0.2759218065217004,1.9601934956597855,0.21381649697052163,3,187,"[0.053141831689148794,0.053141831689148794,0.053141831689148794]","[1.5766661006460534,1.5766661006460534,1.5766661006460534]","[0.001256696548106145,0.001256696548106145,0.001256696548106145]","[12.732194810139804,12.732194810139804,12.732194810139804]","[2749098549355952707,-1279162567777340669,-4847238973013088069]","[193.9042114172161,193.9042114172161,193.9042114172161]","[2.2536218236527277,1.8783625374453101,1.9601934956597855]","[1.6357797371186984,-0.2759218065217004,-0.941702272615633]","[0.022276731068269384,0.022276731068269384,0.022276731068269384]","[0.0019430247470465234,0.0019430247470465234,0.0019430247470465234]","[0.181617446021471,0.21381649697052163,0.4447484174322418]","[3.711770516346938,3.711770516346938,3.711770516346938]","[0.027728501216345763,0.027728501216345763,0.027728501216345763]","[0.013713482809088701,0.013713482809088701,0.013713482809088701]","[0.5,0.5,0.5]","[2.979453307381173,2.979453307381173,2.979453307381173]"
1000,1000,0.02930634577593282,192.97184368248554,0.001571063568473595,3.5459793944299,2.7762362200565827,0.028220710733845262,2.7766556582920034,12.96312997528392,-0.025725040482343753,0.045018886767910604,1.3363053957658737,0.02809040673604629,1.2869079614270738,2.5784172941351327,0.2921024150213394,2,421,"[0.02809040673604629,0.02809040673604629]","[1.3363053957658737,1.3363053957658737]","[0.001571063568473595,0.001571063568473595]","[12.96312997528392,12.96312997528392]","[-5231338150635395358,-8536486303376757136]","[192.97184368248554,192.97184368248554]","[3.300247199480913,1.8565873887893525]","[1.319705496386955,1.2541104264671925]","[0.028220710733845262,0.028220710733845262]","[-0.025725040482343753,-0.025725040482343753]","[0.3042590456928691,0.27994578434980966]","[2.7762362200565827,2.7762362200565827]","[0.045018886767910604,0.045018886767910604]","[0.02930634577593282,0.02930634577593282]","[3.5459793944299,3.5459793944299]","[2.7766556582920034,2.7766556582920034]"
1000,1000,0.012110621409603606,362.9197713915432,0.0035506948678490627,3.0645573845454863,0.50267487736928,0.0827456227525747,3.127292594319205,6.2467423826020765,0.04774791311165838,-0.057305035081488945,1.5136315061122256,0.06433187055380954,1.581783281433014,2.156677113950679,0.28546034439416745,1,781,"[0.06433187055380954]","[1.5136315061122256]","[0.0035506948678490627]","[6.2467423826020765]","[896040152262746431]","[362.9197713915432]","[2.156677113950679]","[1.581783281433014]","[0.0827456227525747]","[0.04774791311165838]","[0.28546034439416745]","[0.50267487736928]","[-0.057305035081488945]","[0.012110621409603606]","[3.0645573845454863]","[3.127292594319205]"
