evolution$generation,evolution$evaluated,macroGravityDecay,macroInnovationDecay,mesoCrossOverProba,mesoMutationProba,mesoInteractionProba,mesoToMacroInnovationThreshold,macroToMesoCrossoverMaxUpdate,macroToMesoMutationMaxUpdate,macroToMesoExchangeMaxUpdate,objective$psiUtility,objective$deltaUtility,objective$gammaUtility,evolution$samples,evolution$generated,mesoInteractionProba,mesoToMacroInnovationThreshold,macroToMesoCrossoverMaxUpdate,mesoCrossOverProba,macroGravityDecay,psiUtility,macroInnovationDecay,macroToMesoMutationMaxUpdate,mesoMutationProba,deltaUtility,replication,gammaUtility,macroToMesoExchangeMaxUpdate
27000,27000,1.0735306759887484,0.520479967378291,0.46294751624765684,0.005392011132324595,5.662613135867276E-6,1.8324734650861458,-8.89435816220494E-4,1.0E-4,-6.38846903523564E-8,1.6794990340974292,0.5996468151765648,0.086689034671243,1,15187,"[5.662613135867276E-6]","[1.8324734650861458]","[-8.89435816220494E-4]","[0.46294751624765684]","[1.0735306759887484]","[1.6794990340974292]","[0.520479967378291]","[1.0E-4]","[0.005392011132324595]","[0.5996468151765648]","[9099870987039686477]","[0.086689034671243]","[-6.38846903523564E-8]"
27000,27000,0.5741552364400299,0.31170475418869104,0.4244465066663826,0.004816918525546876,7.704026061155607E-6,1.6934817758991483,9.366084139615215E-5,2.971442563908388E-5,-2.97375905114599E-9,0.2324419788074441,0.9078365895788276,0.04122850967678593,1,20196,"[7.704026061155607E-6]","[1.6934817758991483]","[9.366084139615215E-5]","[0.4244465066663826]","[0.5741552364400299]","[0.2324419788074441]","[0.31170475418869104]","[2.971442563908388E-5]","[0.004816918525546876]","[0.9078365895788276]","[6680481459833450427]","[0.04122850967678593]","[-2.97375905114599E-9]"
27000,27000,0.8273828580669977,0.10792974642441985,0.46213194270897334,0.004360218668841153,5.8906382116374454E-6,1.134205863063074,9.011113579464945E-4,-7.380999543574797E-5,1.0E-7,1.48807569501767,0.46228533010495587,0.15867246134267043,4,6682,"[5.8906382116374454E-6,5.8906382116374454E-6,5.8906382116374454E-6,5.8906382116374454E-6]","[1.134205863063074,1.134205863063074,1.134205863063074,1.134205863063074]","[9.011113579464945E-4,9.011113579464945E-4,9.011113579464945E-4,9.011113579464945E-4]","[0.46213194270897334,0.46213194270897334,0.46213194270897334,0.46213194270897334]","[0.8273828580669977,0.8273828580669977,0.8273828580669977,0.8273828580669977]","[2.029590572970987,1.4760618510217514,1.5000895390135884,0.16002291080252506]","[0.10792974642441985,0.10792974642441985,0.10792974642441985,0.10792974642441985]","[-7.380999543574797E-5,-7.380999543574797E-5,-7.380999543574797E-5,-7.380999543574797E-5]","[0.004360218668841153,0.004360218668841153,0.004360218668841153,0.004360218668841153]","[0.46104934947201626,0.4362019022804966,0.643565375995252,0.4635213107378955]","[3527589000720523306,4861884048693996719,-6228612709308026036,-4647941915213841902]","[0.14978441274607013,0.19061611879075757,0.16756050993927074,0.02586206896551646]","[1.0E-7,1.0E-7,1.0E-7,1.0E-7]"
27000,27000,0.9854000391469722,0.6074641176795259,0.443350095757593,0.006200532425637183,7.962415374592597E-6,2.0,1.1727812349816369E-4,9.334985108236476E-5,-3.1629707466607973E-10,0.538081117945671,0.6982402931920464,0.22491298466523668,3,18311,"[7.962415374592597E-6,7.962415374592597E-6,7.962415374592597E-6]","[2.0,2.0,2.0]","[1.1727812349816369E-4,1.1727812349816369E-4,1.1727812349816369E-4]","[0.443350095757593,0.443350095757593,0.443350095757593]","[0.9854000391469722,0.9854000391469722,0.9854000391469722]","[0.7342859078416062,0.538081117945671,0.2943027225226009]","[0.6074641176795259,0.6074641176795259,0.6074641176795259]","[9.334985108236476E-5,9.334985108236476E-5,9.334985108236476E-5]","[0.006200532425637183,0.006200532425637183,0.006200532425637183]","[0.38169389570586754,0.6982402931920464,0.8963371547585566]","[-7950459895241856597,-8365762221258102677,-948295889636907984]","[0.1726893643576628,0.23613649879389564,0.22491298466523668]","[-3.1629707466607973E-10,-3.1629707466607973E-10,-3.1629707466607973E-10]"
27000,27000,0.7749485919722569,0.5165548223255233,0.3082449246104418,0.0047351871396811695,4.484595155882393E-6,1.675121024034861,-3.8081653845704747E-4,3.304183832401765E-5,2.3032580006193085E-8,0.8253871856949635,0.610166115314835,0.31226968087162943,1,14641,"[4.484595155882393E-6]","[1.675121024034861]","[-3.8081653845704747E-4]","[0.3082449246104418]","[0.7749485919722569]","[0.8253871856949635]","[0.5165548223255233]","[3.304183832401765E-5]","[0.0047351871396811695]","[0.610166115314835]","[3547206088916577278]","[0.31226968087162943]","[2.3032580006193085E-8]"
27000,27000,0.15024287030780836,0.1,0.45995469550685747,0.007356075690471997,3.6817210108853777E-6,1.4896064541976415,-5.742562257392183E-4,-1.754967356934485E-5,8.896616433709385E-8,1.2865147488642612,1.0078920522772425,0.14291426531998086,3,17183,"[3.6817210108853777E-6,3.6817210108853777E-6,3.6817210108853777E-6]","[1.4896064541976415,1.4896064541976415,1.4896064541976415]","[-5.742562257392183E-4,-5.742562257392183E-4,-5.742562257392183E-4]","[0.45995469550685747,0.45995469550685747,0.45995469550685747]","[0.15024287030780836,0.15024287030780836,0.15024287030780836]","[1.3168425302734343,0.10579119096037859,1.2865147488642612]","[0.1,0.1,0.1]","[-1.754967356934485E-5,-1.754967356934485E-5,-1.754967356934485E-5]","[0.007356075690471997,0.007356075690471997,0.007356075690471997]","[1.0078920522772425,1.2208798713161282,0.8026394507120709]","[2324093286626736841,8231804601263728418,8710693807372250611]","[0.15308568989951654,0.056689551406631455,0.14291426531998086]","[8.896616433709385E-8,8.896616433709385E-8,8.896616433709385E-8]"
27000,27000,0.9299987397777639,0.33390534367029995,0.45475467130452907,0.00136183327952838,6.410406490405541E-6,1.4256820267931465,-9.905365204413488E-4,7.805355444165427E-5,2.9856081576197685E-8,0.18969767044331576,0.6743996285399114,0.14164035635018912,2,21905,"[6.410406490405541E-6,6.410406490405541E-6]","[1.4256820267931465,1.4256820267931465]","[-9.905365204413488E-4,-9.905365204413488E-4]","[0.45475467130452907,0.45475467130452907]","[0.9299987397777639,0.9299987397777639]","[0.032462390438137145,0.34693295044849437]","[0.33390534367029995,0.33390534367029995]","[7.805355444165427E-5,7.805355444165427E-5]","[0.00136183327952838,0.00136183327952838]","[0.47951426040240763,0.8692849966774152]","[-229523804932001708,312572629157882792]","[0.17135063199167666,0.11193008070870158]","[2.9856081576197685E-8,2.9856081576197685E-8]"
27000,27000,0.8140977423125162,0.34268601302918,0.43140064077652257,0.006718652698267705,1.0082812737083505E-6,1.993294670519338,-7.373323983807543E-4,-7.76676378409012E-5,-9.469283917597129E-9,0.9222749285105358,0.3905125670494036,0.17488573693461484,1,23766,"[1.0082812737083505E-6]","[1.993294670519338]","[-7.373323983807543E-4]","[0.43140064077652257]","[0.8140977423125162]","[0.9222749285105358]","[0.34268601302918]","[-7.76676378409012E-5]","[0.006718652698267705]","[0.3905125670494036]","[-7453622870825946279]","[0.17488573693461484]","[-9.469283917597129E-9]"
27000,27000,0.5221095395023666,0.7540110723568559,0.27013405046493816,0.005630431272441528,6.11969811018345E-6,1.7548985867924067,4.1924200377349173E-4,7.388638796174391E-5,-1.640744173149504E-8,0.922988673103089,0.8139506731668757,0.04593322289349233,3,1169,"[6.11969811018345E-6,6.11969811018345E-6,6.11969811018345E-6]","[1.7548985867924067,1.7548985867924067,1.7548985867924067]","[4.1924200377349173E-4,4.1924200377349173E-4,4.1924200377349173E-4]","[0.27013405046493816,0.27013405046493816,0.27013405046493816]","[0.5221095395023666,0.5221095395023666,0.5221095395023666]","[0.922988673103089,0.07262495288617332,1.4740743843360846]","[0.7540110723568559,0.7540110723568559,0.7540110723568559]","[7.388638796174391E-5,7.388638796174391E-5,7.388638796174391E-5]","[0.005630431272441528,0.005630431272441528,0.005630431272441528]","[1.0199760736908128,0.5666669006516583,0.8139506731668757]","[-5431238746738939650,-4825797800654457856,-8382249930427750349]","[0.21719050892738823,0.044747368429965295,0.04593322289349233]","[-1.640744173149504E-8,-1.640744173149504E-8,-1.640744173149504E-8]"
27000,27000,0.6277577204764441,1.072011828357636,0.27635512271583706,0.002428437847300638,3.358166540928828E-6,1.5730104714897093,-3.6474836381841737E-4,8.611072166665042E-5,4.145023664127861E-8,-0.03829760265840587,0.6946108750146549,0.02155172413793016,2,165,"[3.358166540928828E-6,3.358166540928828E-6]","[1.5730104714897093,1.5730104714897093]","[-3.6474836381841737E-4,-3.6474836381841737E-4]","[0.27635512271583706,0.27635512271583706]","[0.6277577204764441,0.6277577204764441]","[-0.07638106063645145,-2.1414468036029533E-4]","[1.072011828357636,1.072011828357636]","[8.611072166665042E-5,8.611072166665042E-5]","[0.002428437847300638,0.002428437847300638]","[0.8642395937810705,0.5249821562482393]","[-276027927874093421,-1204674288809956300]","[0.02586206896551646,0.017241379310343863]","[4.145023664127861E-8,4.145023664127861E-8]"
